Sub-Category,Sales,Order_Date
Fasteners,31.56,04-01-2016
Appliances,30.144,04-01-2016
Furnishings,14.8,12-11-2016
Phones,302.376,12-11-2016
Accessories,316.0,12-11-2016
Paper,379.4,10/23/2016
Paper,97.82,6/19/2017
Accessories,103.12,6/19/2017
Appliances,113.552,8/22/2016
Binders,3.318,8/22/2016
Envelopes,134.288,8/22/2016
Chairs,701.372,9/19/2016
Binders,2.308,9/19/2016
Storage,999.432,8/24/2015
Storage,724.08,8/24/2015
Tables,918.785,8/24/2015
Binders,2.724,8/24/2015
Storage,459.95,3/26/2016
Fasteners,10.74,11-04-2016
Supplies,23.76,06-08-2017
Paper,85.056,06-08-2017
Phones,381.576,06-08-2017
Furnishings,30.36,12/24/2014
Furnishings,23.976,06-09-2017
Tables,108.925,06-09-2017
Paper,36.352,06-09-2017
Art,19.56,6/15/2017
Appliances,61.44,12-05-2017
Paper,38.9,12-05-2017
Accessories,99.39,12-05-2017
Appliances,2.688,3/18/2017
Accessories,27.816,3/18/2017
Furnishings,82.524,3/18/2017
Binders,182.994,3/18/2017
Binders,14.352,11/19/2016
Storage,64.96,11/19/2016
Storage,68.6,11/19/2016
Machines,7999.98,11-04-2017
Appliances,167.44,11-04-2017
Accessories,479.97,07-05-2014
Labels,14.62,07-05-2014
Paper,19.44,07-05-2014
Bookcases,191.984,12/25/2017
Furnishings,104.01,6/21/2014
Phones,284.82,6/21/2014
Storage,36.84,6/21/2014
Accessories,166.24,3/28/2015
Paper,33.4,3/28/2015
Art,198.272,5/14/2015
Labels,47.36,5/14/2015
Envelopes,200.984,5/14/2015
Labels,97.696,5/14/2015
Art,2.696,5/14/2015
Binders,18.588,5/14/2015
Binders,4.896,5/14/2015
Furnishings,15.072,09-02-2017
Furnishings,209.88,11-04-2016
Tables,369.912,04-09-2015
Paper,10.368,09-12-2014
Appliances,166.84,09-12-2014
Accessories,15.216,09-12-2014
Accessories,119.96,12-02-2014
Bookcases,883.92,12-02-2014
Binders,46.72,12-02-2014
Paper,55.48,04-05-2014
Envelopes,24.448,09-03-2017
Appliances,281.34,5/19/2017
Phones,307.98,5/19/2017
Accessories,299.97,5/19/2017
Binders,19.92,07-01-2014
Furnishings,9.94,01-11-2014
Furnishings,103.056,9/24/2017
Binders,59.808,06-02-2014
Furnishings,73.32,06-02-2014
Paper,146.82,2/13/2016
Tables,1652.94,12/15/2016
Storage,296.37,12/15/2016
Furnishings,129.92,10-07-2014
Supplies,45.584,07-07-2016
Envelopes,17.568,9/16/2017
Phones,55.992,9/16/2017
Paper,182.72,12-03-2016
Tables,400.032,12-03-2016
Storage,33.63,12-03-2016
Chairs,542.646,12-03-2016
Labels,6.3,12-03-2016
Storage,242.94,1/21/2017
Accessories,179.97,1/21/2017
Binders,99.696,1/21/2017
Binders,27.936,1/21/2017
Bookcases,84.98,1/21/2017
Binders,18.72,1/21/2017
Accessories,49.98,09-08-2014
Labels,11.784,01-04-2014
Storage,272.736,01-04-2014
Binders,3.54,01-04-2014
Supplies,51.52,8/27/2016
Paper,3.528,8/27/2016
Paper,4.624,8/27/2016
Supplies,55.168,8/27/2016
Tables,567.12,5/27/2014
Storage,359.32,5/27/2014
Phones,11.992,3/20/2016
Binders,58.05,10-02-2017
Furnishings,157.74,10-02-2017
Art,56.98,10-02-2017
Binders,2.88,10-02-2017
Copiers,1199.976,04-07-2016
Furnishings,79.92,12-07-2015
Tables,383.438,9/18/2016
Storage,24.56,12/29/2014
Accessories,119.8,12/29/2014
Binders,13.128,7/23/2017
Paper,22.72,9/18/2017
Paper,58.32,8/31/2015
Labels,12.39,11-03-2017
Phones,107.982,02-08-2015
Envelopes,11.36,1/13/2014
Envelopes,50.94,1/13/2014
Accessories,646.74,1/13/2014
Binders,5.64,1/13/2014
Storage,572.58,1/13/2014
Furnishings,310.88,5/14/2014
Chairs,641.96,5/19/2016
Binders,18.28,1/30/2017
Phones,207.0,1/30/2017
Binders,32.35,1/30/2017
Binders,7.71,1/30/2017
Art,40.3,1/30/2017
Furnishings,34.58,1/30/2017
Art,32.76,6/29/2014
Chairs,544.008,8/21/2015
Paper,59.94,8/21/2015
Paper,23.92,8/21/2015
Paper,4.28,8/21/2015
Binders,32.07,10-03-2015
Accessories,24.0,10-03-2015
Bookcases,35.49,10-03-2015
Accessories,47.984,10-03-2015
Envelopes,186.69,5/23/2015
Binders,17.456,3/17/2017
Chairs,348.928,12-12-2015
Binders,143.96,6/26/2015
Storage,15.42,6/26/2015
Binders,43.04,6/26/2015
Chairs,332.94,6/26/2015
Phones,1363.96,5/20/2016
Labels,9.96,9/20/2014
Paper,21.72,9/20/2014
Binders,20.16,9/21/2017
Paper,132.79,12/24/2015
Paper,12.96,12/24/2015
Labels,21.56,12/24/2015
Chairs,283.92,11/27/2015
Furnishings,22.23,2/20/2017
Phones,215.968,2/20/2017
Appliances,355.32,8/18/2016
Paper,12.96,03-12-2016
Furnishings,18.28,4/22/2017
Art,43.176,11-01-2014
Phones,1983.968,11-01-2014
Furnishings,28.4,02-03-2015
Accessories,149.97,02-03-2015
Art,11.52,10/13/2014
Tables,1298.55,10/13/2014
Appliances,213.92,10/13/2014
Accessories,25.78,10/13/2014
Furnishings,18.28,5/14/2017
Accessories,1399.93,5/14/2017
Paper,51.84,3/20/2015
Paper,5.344,9/15/2016
Paper,41.472,6/28/2014
Binders,3.168,6/28/2014
Chairs,1228.465,6/28/2014
Binders,31.086,6/28/2014
Paper,335.52,6/28/2014
Accessories,239.97,6/20/2017
Labels,9.82,6/20/2017
Accessories,67.8,05-09-2014
Accessories,167.97,05-09-2014
Fasteners,35.0,8/21/2017
Supplies,37.24,8/21/2017
Envelopes,15.28,8/21/2017
Chairs,301.96,6/16/2017
Appliances,180.66,6/16/2017
Phones,191.98,6/16/2017
Phones,65.99,6/16/2017
Art,35.216,7/23/2016
Appliances,23.696,7/23/2016
Machines,265.475,7/23/2016
Binders,51.184,09-08-2014
Paper,9.664,11-04-2017
Phones,21.072,03-07-2016
Art,60.45,11/20/2015
Art,11.52,11/20/2015
Bookcases,186.048,11/20/2015
Binders,37.44,11-07-2016
Binders,26.976,11-07-2016
Supplies,11.36,11-07-2016
Labels,14.62,11-07-2016
Phones,83.72,10/13/2015
Chairs,287.94,10/13/2015
Furnishings,48.896,01-01-2017
Accessories,115.36,02-07-2014
Art,5.16,6/20/2016
Paper,38.88,6/20/2016
Art,185.88,5/28/2016
Furnishings,44.46,2/19/2016
Storage,242.94,2/19/2016
Paper,39.96,08-03-2014
Supplies,102.3,08-03-2014
Storage,21.36,08-03-2014
Paper,7.61,04-10-2017
Fasteners,7.16,04-10-2017
Supplies,7.36,06-09-2014
Art,23.1,06-09-2014
Accessories,191.472,01-05-2016
Art,5.248,01-05-2016
Phones,59.184,01-05-2016
Labels,2.89,01-10-2014
Furnishings,51.94,01-10-2014
Labels,15.936,9/29/2016
Binders,44.91,04-06-2014
Binders,1141.47,09-03-2016
Phones,280.782,09-03-2016
Paper,34.44,10/19/2015
Paper,11.36,12-10-2014
Binders,106.344,12-10-2014
Paper,192.16,8/25/2017
Furnishings,322.59,1/17/2016
Accessories,29.99,1/17/2016
Accessories,371.97,1/17/2016
Binders,5.892,9/17/2014
Binders,68.472,11/30/2017
Chairs,1242.9,11/30/2017
Storage,30.84,10-09-2015
Art,13.48,12/23/2017
Furnishings,31.4,10/22/2016
Furnishings,17.46,4/29/2014
Binders,13.944,4/25/2015
Storage,83.76,6/26/2017
Binders,37.66,10/14/2017
Paper,34.68,12-09-2014
Accessories,149.95,6/20/2017
Binders,51.312,6/20/2017
Paper,4.54,6/26/2017
Art,15.92,6/26/2017
Phones,543.92,6/26/2017
Storage,155.82,11-10-2016
Binders,70.008,11-10-2016
Envelopes,15.648,10-03-2016
Labels,103.6,09-09-2014
Paper,46.96,10/29/2017
