Category,Quantity,Order_Date
Office Supplies,3,5/28/2015
Furniture,2,03-01-2014
Office Supplies,2,11/20/2016
Technology,7,11/20/2016
Office Supplies,1,05-11-2016
Technology,2,12/28/2015
Office Supplies,5,11/16/2016
Office Supplies,2,11-07-2016
Office Supplies,3,09-08-2014
Technology,8,09-08-2014
Office Supplies,3,09-08-2014
Furniture,9,09-08-2014
Office Supplies,6,09-08-2014
Office Supplies,5,09-08-2014
Technology,3,09-08-2014
Office Supplies,3,08-05-2014
Office Supplies,2,08-05-2014
Furniture,7,08-05-2014
Office Supplies,2,9/14/2014
Office Supplies,4,9/14/2014
Office Supplies,4,4/21/2017
Furniture,7,11/21/2015
Office Supplies,5,11/21/2015
Office Supplies,1,12/15/2015
Office Supplies,2,12-05-2014
Technology,7,12-05-2014
Technology,4,11/19/2014
Technology,5,11/19/2014
Technology,2,11/19/2014
Office Supplies,2,11/28/2016
Technology,8,8/26/2014
Office Supplies,3,7/16/2016
Office Supplies,3,7/16/2016
Furniture,4,10-12-2015
Technology,6,10-12-2015
Office Supplies,8,10-12-2015
Furniture,3,10-12-2015
Office Supplies,5,10-12-2015
Office Supplies,7,10/31/2015
Office Supplies,2,3/21/2014
Office Supplies,3,3/21/2014
Office Supplies,3,11-06-2017
Office Supplies,2,07-06-2017
Office Supplies,3,07-06-2017
Office Supplies,3,6/24/2017
Furniture,2,08-03-2014
Office Supplies,1,08-03-2014
Office Supplies,2,12/17/2017
Furniture,7,06-03-2017
Technology,4,12-09-2017
Office Supplies,4,12-01-2017
Technology,2,12-01-2017
Office Supplies,4,12-01-2017
Office Supplies,9,12-01-2017
Office Supplies,1,12-01-2017
Technology,2,02-09-2015
Office Supplies,2,01-02-2015
Furniture,5,01-02-2015
Technology,3,01-02-2015
Technology,9,01-02-2015
Technology,2,01-02-2015
Office Supplies,6,10/28/2016
Technology,3,10/28/2016
Office Supplies,2,12/24/2015
Office Supplies,6,12/24/2015
Office Supplies,4,12/24/2015
Furniture,4,12/24/2015
Technology,4,12/24/2015
Office Supplies,2,12/24/2015
Office Supplies,1,08-09-2015
Furniture,5,08-09-2015
Office Supplies,1,08-09-2015
Furniture,2,2/28/2015
Furniture,8,2/28/2015
Office Supplies,7,9/13/2014
Furniture,2,04-07-2017
Furniture,3,04-07-2017
Office Supplies,2,04-07-2017
Furniture,3,04-07-2017
Technology,3,04-07-2017
Office Supplies,2,11-12-2017
Office Supplies,5,06-04-2016
Furniture,5,06-04-2016
Furniture,3,06-04-2016
Technology,2,06-04-2016
Furniture,5,06-04-2016
Furniture,3,06-04-2016
Office Supplies,2,06-04-2016
Furniture,7,06-01-2014
Office Supplies,2,06-01-2014
Office Supplies,6,06-01-2014
Office Supplies,5,06-01-2014
Office Supplies,4,06-01-2014
Furniture,2,12-10-2016
Office Supplies,1,09-11-2016
Technology,13,09-11-2016
Office Supplies,6,12-10-2016
Office Supplies,4,12-10-2016
Furniture,9,11/28/2015
Office Supplies,2,11/28/2015
Office Supplies,5,11/28/2015
Technology,6,11/28/2015
Technology,3,12-01-2017
Office Supplies,3,12-01-2017
Office Supplies,5,12-01-2017
Office Supplies,2,06-08-2017
Technology,3,9/19/2014
Technology,7,9/19/2014
Technology,4,06-06-2016
Technology,2,11-10-2015
Office Supplies,3,6/16/2017
Office Supplies,6,1/22/2016
Office Supplies,1,12-09-2017
Office Supplies,3,12-09-2017
Office Supplies,4,12/28/2017
Technology,7,7/30/2015
Furniture,3,7/30/2015
Office Supplies,3,7/30/2015
Office Supplies,2,9/16/2017
Office Supplies,1,9/16/2017
Office Supplies,2,10/13/2017
Office Supplies,4,10/13/2017
Office Supplies,6,10/13/2017
Office Supplies,3,10/13/2017
Office Supplies,5,9/26/2015
Technology,7,9/26/2015
Furniture,5,11-02-2015
Office Supplies,5,9/26/2015
Technology,5,9/26/2015
Office Supplies,6,9/26/2015
Office Supplies,7,12/18/2016
Office Supplies,2,12/18/2016
Office Supplies,5,12/18/2016
Office Supplies,7,11/20/2016
Office Supplies,8,11/20/2016
Technology,2,11/20/2016
Furniture,3,11/20/2016
Furniture,8,12/26/2014
Furniture,3,12/26/2014
Furniture,3,12/26/2014
Office Supplies,5,12/26/2014
Office Supplies,3,12/26/2014
Office Supplies,5,10/28/2016
Office Supplies,8,10/28/2016
Office Supplies,3,10/28/2016
Furniture,4,10/28/2016
Office Supplies,1,10/28/2016
Furniture,3,11/19/2017
Furniture,2,05-04-2015
Office Supplies,3,12/30/2014
Office Supplies,3,06-01-2014
Office Supplies,6,06-01-2014
Office Supplies,1,4/15/2017
Furniture,4,09-12-2016
Furniture,2,09-12-2016
Furniture,1,09-12-2016
Office Supplies,3,09-12-2016
Furniture,3,9/27/2014
Technology,2,08-09-2014
Office Supplies,3,08-09-2014
Office Supplies,4,12/28/2014
Furniture,1,11-04-2014
Technology,2,11-04-2014
Technology,6,11-04-2014
Technology,4,11-04-2014
Office Supplies,1,11-04-2014
Office Supplies,2,9/19/2014
Office Supplies,6,4/23/2016
Technology,1,4/23/2016
Furniture,1,11-03-2017
Technology,3,8/30/2016
Office Supplies,2,8/30/2016
Furniture,4,8/30/2016
Office Supplies,10,8/30/2016
Office Supplies,6,8/30/2016
Technology,2,4/25/2016
Office Supplies,2,4/25/2016
Office Supplies,3,4/25/2016
Office Supplies,1,09-01-2015
Technology,2,09-01-2015
Office Supplies,4,09-01-2015
Office Supplies,2,07-12-2014
Furniture,3,07-12-2014
Office Supplies,4,6/22/2015
Office Supplies,4,4/13/2014
Office Supplies,10,4/13/2014
Office Supplies,13,4/13/2014
Technology,12,4/13/2014
Office Supplies,4,12/20/2015
Technology,3,6/15/2017
Office Supplies,3,07-08-2017
Office Supplies,2,07-08-2017
Office Supplies,2,07-08-2017
Technology,1,09-01-2016
Office Supplies,2,09-01-2016
Office Supplies,1,09-01-2016
Office Supplies,4,09-01-2016
Office Supplies,4,09-01-2016
Furniture,6,04-08-2016
Office Supplies,2,04-08-2016
Office Supplies,4,04-08-2016
Office Supplies,5,04-08-2016
Office Supplies,5,4/23/2016
Office Supplies,8,03-08-2017
Office Supplies,2,03-08-2017
Office Supplies,2,9/25/2017
Furniture,3,9/25/2017
Office Supplies,2,9/25/2017
Furniture,8,9/25/2017
Office Supplies,4,9/24/2014
Office Supplies,4,10/21/2016
Office Supplies,2,10/21/2016
Office Supplies,7,10/21/2016
Furniture,4,10/21/2016
Office Supplies,5,5/29/2017
Office Supplies,3,5/29/2017
Office Supplies,5,7/23/2014
Technology,8,7/23/2014
Office Supplies,1,7/23/2014
Technology,10,7/23/2014
Office Supplies,4,9/28/2016
Furniture,7,8/27/2017
Office Supplies,3,4/28/2015
Office Supplies,3,4/28/2015
Office Supplies,4,4/28/2015
Office Supplies,7,10/28/2016
Office Supplies,3,10/28/2016
Technology,2,6/26/2015
Furniture,3,11/27/2015
Technology,3,11/27/2015
Technology,4,12-03-2015
Furniture,1,12-03-2015
Office Supplies,1,11/24/2014
Office Supplies,4,12-11-2017
Technology,2,12-11-2017
Technology,2,9/21/2014
Technology,3,9/21/2014
Office Supplies,3,06-07-2014
Office Supplies,3,6/30/2017
Office Supplies,2,10/17/2017
Office Supplies,2,10/17/2017
Office Supplies,4,10/31/2015
Office Supplies,3,09-08-2016
Furniture,4,09-08-2016
Office Supplies,4,09-08-2016
Technology,2,09-08-2016
Office Supplies,2,12/24/2014
Office Supplies,6,4/16/2014
Office Supplies,3,12/24/2017
Technology,5,12-08-2017
Technology,3,12-08-2017
Office Supplies,5,12-08-2017
Furniture,7,12-08-2017
Office Supplies,1,12-08-2017
Office Supplies,9,12-08-2017
Office Supplies,1,12-08-2017
Furniture,13,12-08-2017
Furniture,2,12-08-2017
Office Supplies,7,11-03-2017
Furniture,4,11-03-2017
Office Supplies,8,6/24/2017
Furniture,5,4/14/2016
Office Supplies,1,11-06-2017
Office Supplies,4,03-04-2017
Office Supplies,1,03-04-2017
Technology,6,6/22/2014
Furniture,4,10/19/2017
Office Supplies,3,10/19/2017
Furniture,4,8/21/2017
Furniture,2,11/23/2017
Office Supplies,8,11/23/2017
Technology,1,09-12-2014
Office Supplies,6,10-01-2017
Office Supplies,2,4/15/2016
Technology,7,4/15/2016
Technology,5,4/15/2016
Office Supplies,2,4/15/2016
Office Supplies,5,06-06-2016
Office Supplies,2,12/19/2014
Technology,5,12/19/2014
Technology,3,06-12-2016
Office Supplies,7,06-12-2016
Office Supplies,8,9/15/2017
Furniture,3,1/20/2017
Furniture,1,09-05-2016
Office Supplies,3,09-05-2016
Office Supplies,3,09-05-2016
Office Supplies,4,09-05-2016
Furniture,3,09-05-2016
Office Supplies,7,09-05-2016
Furniture,1,3/20/2017
Office Supplies,3,04-01-2016
Office Supplies,3,04-01-2016
Office Supplies,6,04-01-2016
Office Supplies,3,04-01-2016
Office Supplies,3,04-01-2016
Technology,4,04-01-2016
Furniture,2,10/20/2017
Office Supplies,2,10/20/2017
Technology,4,12/13/2016
Furniture,2,02-12-2014
Furniture,3,9/26/2016
Office Supplies,2,9/26/2016
Office Supplies,4,12/15/2015
Technology,9,12/15/2015
Office Supplies,3,12/15/2015
Furniture,5,4/22/2016
Furniture,6,4/22/2016
Office Supplies,5,4/22/2016
Office Supplies,2,4/22/2016
Office Supplies,2,4/22/2016
Furniture,7,1/17/2015
Furniture,2,3/31/2017
Office Supplies,3,12/16/2016
Office Supplies,1,12/20/2015
Office Supplies,3,11-09-2014
Furniture,2,11-09-2014
Technology,4,11-09-2014
Office Supplies,6,11-09-2014
Office Supplies,7,11-09-2014
Office Supplies,5,11-09-2014
Technology,6,07-12-2016
Furniture,3,10/27/2016
Office Supplies,5,6/26/2016
Office Supplies,5,6/26/2016
Technology,3,10-06-2014
Office Supplies,2,7/22/2014
Technology,2,7/22/2014
Office Supplies,2,06-10-2017
Furniture,5,06-10-2017
Technology,5,06-10-2017
Technology,6,10/29/2014
Technology,1,06-09-2014
Technology,2,06-09-2014
Office Supplies,2,06-09-2014
Office Supplies,5,9/14/2014
Office Supplies,3,9/14/2014
Technology,2,05-09-2016
Furniture,3,3/18/2016
Office Supplies,2,12/27/2015
Office Supplies,8,7/25/2016
Furniture,4,7/25/2016
Furniture,2,7/25/2016
Furniture,9,7/25/2016
Office Supplies,2,5/30/2016
Office Supplies,2,5/30/2016
Furniture,2,5/30/2016
Office Supplies,3,5/30/2016
Office Supplies,1,5/30/2016
Office Supplies,5,11-12-2017
Office Supplies,1,3/16/2015
Office Supplies,3,3/16/2015
Office Supplies,3,3/16/2015
Office Supplies,5,3/16/2015
Furniture,3,11/26/2017
Technology,2,11/26/2017
Office Supplies,3,10/20/2016
Office Supplies,3,12/21/2017
Office Supplies,2,12/21/2017
Technology,5,1/22/2017
Office Supplies,3,1/22/2017
Office Supplies,2,1/22/2017
Office Supplies,3,1/22/2017
Technology,1,3/22/2015
Office Supplies,2,3/22/2015
Office Supplies,9,3/22/2015
Furniture,2,1/23/2017
Technology,3,5/21/2016
Technology,2,5/21/2016
Office Supplies,5,12/26/2015
Furniture,3,10/21/2017
Furniture,3,10/21/2017
Office Supplies,3,09-03-2015
Office Supplies,1,09-03-2015
Office Supplies,6,09-03-2015
Furniture,1,11-07-2015
Furniture,3,09-07-2017
Technology,5,5/29/2016
Office Supplies,5,5/29/2016
Office Supplies,2,07-10-2016
Office Supplies,7,09-03-2017
Office Supplies,4,12-03-2015
Office Supplies,3,12-07-2015
Furniture,4,12-07-2015
Technology,6,02-01-2014
Technology,8,7/14/2016
Office Supplies,9,12/18/2015
Technology,2,05-11-2014
Technology,1,05-11-2014
Furniture,4,05-11-2014
Office Supplies,6,11/19/2017
Office Supplies,2,11/19/2017
Office Supplies,9,11/15/2015
Office Supplies,3,11/15/2015
Office Supplies,5,11/15/2015
Furniture,2,4/15/2016
Furniture,1,09-11-2017
Office Supplies,3,11/24/2017
Office Supplies,2,6/29/2017
Office Supplies,4,03-03-2014
Office Supplies,2,06-10-2016
Furniture,4,06-10-2016
Office Supplies,5,06-10-2016
Furniture,3,11/20/2017
Office Supplies,7,11/20/2017
Office Supplies,5,9/14/2014
Furniture,3,9/14/2014
Office Supplies,2,12-07-2015
Office Supplies,1,12-07-2015
Technology,3,12-07-2017
Office Supplies,8,10-01-2017
Office Supplies,7,10-01-2017
Office Supplies,3,10-01-2017
Furniture,3,10-01-2017
Office Supplies,7,12/28/2017
Office Supplies,4,12/28/2017
Office Supplies,7,12/28/2017
Technology,3,12/28/2017
Office Supplies,3,11-03-2016
Office Supplies,14,9/18/2015
Office Supplies,4,9/18/2015
Office Supplies,2,9/18/2015
Office Supplies,2,7/20/2017
Furniture,1,7/20/2017
Office Supplies,4,09-10-2015
Technology,3,12-01-2017
Technology,2,12-01-2017
Office Supplies,3,12-01-2017
Office Supplies,7,12-01-2017
Technology,4,12-01-2017
Furniture,1,07-03-2015
Office Supplies,3,07-03-2015
Technology,2,3/20/2016
Office Supplies,4,3/20/2016
Office Supplies,3,3/20/2016
Office Supplies,2,3/20/2016
Office Supplies,2,01-09-2014
Technology,3,01-09-2014
Office Supplies,2,08-08-2014
Technology,3,08-08-2014
Technology,5,08-08-2014
Furniture,8,08-08-2014
Office Supplies,2,7/14/2016
Technology,3,7/16/2016
Technology,4,7/16/2016
Office Supplies,2,7/16/2016
Office Supplies,1,3/15/2014
Furniture,3,3/15/2014
Office Supplies,3,3/15/2014
Office Supplies,4,3/15/2014
Office Supplies,3,3/15/2014
Office Supplies,2,5/23/2014
Office Supplies,9,5/23/2014
Technology,2,5/23/2014
Technology,3,4/28/2016
Office Supplies,4,4/28/2016
Office Supplies,2,09-11-2016
Technology,9,09-11-2016
Technology,10,11/14/2017
Office Supplies,2,11/14/2017
Furniture,2,8/18/2017
Furniture,2,8/18/2017
Office Supplies,9,8/18/2017
Technology,1,8/18/2017
Furniture,3,8/18/2017
Office Supplies,5,12/26/2014
Furniture,2,11/29/2015
Office Supplies,5,11/29/2015
Office Supplies,4,11/29/2015
Office Supplies,9,11/29/2015
Furniture,7,9/15/2017
Office Supplies,2,5/19/2017
Office Supplies,5,12/17/2017
Office Supplies,3,12/17/2017
Office Supplies,3,12-11-2016
Technology,5,12-11-2016
Technology,4,12-11-2016
Technology,3,9/24/2017
Office Supplies,3,9/24/2017
Furniture,3,10-04-2015
Office Supplies,3,8/15/2016
Office Supplies,3,8/15/2016
Furniture,5,5/20/2016
Office Supplies,4,5/20/2016
Furniture,3,12/18/2016
Office Supplies,2,7/30/2017
Office Supplies,7,7/30/2017
Technology,4,06-10-2017
Office Supplies,1,7/21/2017
Office Supplies,2,12/30/2017
Office Supplies,5,04-01-2016
Office Supplies,2,04-01-2016
Furniture,4,12-11-2016
Technology,3,12-11-2016
Technology,4,12-11-2016
Office Supplies,10,10/23/2016
Office Supplies,2,6/19/2017
Technology,8,6/19/2017
Office Supplies,2,8/22/2016
Office Supplies,2,8/22/2016
Office Supplies,2,8/22/2016
Furniture,2,9/19/2016
Office Supplies,2,9/19/2016
Office Supplies,7,8/24/2015
Office Supplies,14,8/24/2015
Furniture,5,8/24/2015
Office Supplies,3,8/24/2015
Office Supplies,5,3/26/2016
Office Supplies,3,11-04-2016
Office Supplies,3,06-08-2017
Office Supplies,3,06-08-2017
Technology,3,06-08-2017
Furniture,5,12/24/2014
Furniture,3,06-09-2017
Furniture,1,06-09-2017
Office Supplies,8,06-09-2017
Office Supplies,5,6/15/2017
Office Supplies,3,12-05-2017
Office Supplies,5,12-05-2017
Technology,3,12-05-2017
Office Supplies,3,3/18/2017
Technology,3,3/18/2017
Furniture,3,3/18/2017
Office Supplies,3,3/18/2017
Office Supplies,3,11/19/2016
Office Supplies,2,11/19/2016
Office Supplies,4,11/19/2016
Technology,4,11-04-2017
Office Supplies,2,11-04-2017
Technology,3,07-05-2014
Office Supplies,2,07-05-2014
Office Supplies,3,07-05-2014
Furniture,2,12/25/2017
Furniture,1,6/21/2014
Technology,1,6/21/2014
Office Supplies,3,6/21/2014
Technology,1,3/28/2015
Office Supplies,5,3/28/2015
Office Supplies,8,5/14/2015
Office Supplies,4,5/14/2015
Office Supplies,7,5/14/2015
Office Supplies,4,5/14/2015
Office Supplies,1,5/14/2015
Office Supplies,2,5/14/2015
Office Supplies,3,5/14/2015
Furniture,3,09-02-2017
Furniture,3,11-04-2016
Furniture,3,04-09-2015
Office Supplies,2,09-12-2014
Office Supplies,5,09-12-2014
Technology,1,09-12-2014
Technology,4,12-02-2014
Furniture,5,12-02-2014
Office Supplies,8,12-02-2014
Office Supplies,1,04-05-2014
Office Supplies,4,09-03-2017
Office Supplies,6,5/19/2017
Technology,2,5/19/2017
Technology,3,5/19/2017
Office Supplies,5,07-01-2014
Furniture,2,01-11-2014
Furniture,3,9/24/2017
Office Supplies,3,06-02-2014
Furniture,6,06-02-2014
Office Supplies,3,2/13/2016
Furniture,3,12/15/2016
Office Supplies,3,12/15/2016
Furniture,5,10-07-2014
Office Supplies,7,07-07-2016
Office Supplies,2,9/16/2017
Technology,1,9/16/2017
Office Supplies,8,12-03-2016
Furniture,2,12-03-2016
Office Supplies,3,12-03-2016
Furniture,3,12-03-2016
Office Supplies,2,12-03-2016
Office Supplies,3,1/21/2017
Technology,3,1/21/2017
Office Supplies,6,1/21/2017
Office Supplies,4,1/21/2017
Furniture,1,1/21/2017
Office Supplies,5,1/21/2017
Technology,2,09-08-2014
Office Supplies,3,01-04-2014
Office Supplies,3,01-04-2014
Office Supplies,2,01-04-2014
Office Supplies,5,8/27/2016
Office Supplies,1,8/27/2016
Office Supplies,1,8/27/2016
Office Supplies,4,8/27/2016
Furniture,10,5/27/2014
Office Supplies,4,5/27/2014
Technology,1,3/20/2016
Office Supplies,3,10-02-2017
Furniture,11,10-02-2017
Office Supplies,7,10-02-2017
Office Supplies,1,10-02-2017
Technology,3,04-07-2016
Furniture,4,12-07-2015
Furniture,4,9/18/2016
Office Supplies,2,12/29/2014
Technology,4,12/29/2014
Office Supplies,3,7/23/2017
Office Supplies,4,9/18/2017
Office Supplies,9,8/31/2015
Office Supplies,3,11-03-2017
Technology,3,02-08-2015
Office Supplies,2,1/13/2014
Office Supplies,3,1/13/2014
Technology,6,1/13/2014
Office Supplies,3,1/13/2014
Office Supplies,6,1/13/2014
Furniture,2,5/14/2014
Furniture,2,5/19/2016
Office Supplies,2,1/30/2017
Technology,3,1/30/2017
Office Supplies,5,1/30/2017
Office Supplies,1,1/30/2017
Office Supplies,2,1/30/2017
Furniture,7,1/30/2017
Office Supplies,7,6/29/2014
Furniture,3,8/21/2015
Office Supplies,3,8/21/2015
Office Supplies,4,8/21/2015
Office Supplies,1,8/21/2015
Office Supplies,5,10-03-2015
Technology,2,10-03-2015
Furniture,1,10-03-2015
Technology,2,10-03-2015
Office Supplies,3,5/23/2015
Office Supplies,2,3/17/2017
Furniture,2,12-12-2015
Office Supplies,4,6/26/2015
Office Supplies,1,6/26/2015
Office Supplies,8,6/26/2015
Furniture,3,6/26/2015
Technology,5,5/20/2016
Office Supplies,2,9/20/2014
Office Supplies,4,9/20/2014
Office Supplies,7,9/21/2017
Office Supplies,7,12/24/2015
Office Supplies,2,12/24/2015
Office Supplies,7,12/24/2015
Furniture,5,11/27/2015
Furniture,1,2/20/2017
Technology,2,2/20/2017
Office Supplies,9,8/18/2016
Office Supplies,2,03-12-2016
Furniture,2,4/22/2017
Office Supplies,3,11-01-2014
Technology,4,11-01-2014
Furniture,2,02-03-2015
Technology,3,02-03-2015
Office Supplies,4,10/13/2014
Furniture,5,10/13/2014
Office Supplies,4,10/13/2014
Technology,2,10/13/2014
Furniture,2,5/14/2017
Technology,7,5/14/2017
Office Supplies,8,3/20/2015
Office Supplies,1,9/15/2016
Office Supplies,8,6/28/2014
Office Supplies,3,6/28/2014
Furniture,5,6/28/2014
Office Supplies,3,6/28/2014
Office Supplies,4,6/28/2014
Technology,3,6/20/2017
Office Supplies,2,6/20/2017
Technology,4,05-09-2014
Technology,3,05-09-2014
Office Supplies,7,8/21/2017
Office Supplies,4,8/21/2017
Office Supplies,2,8/21/2017
Furniture,2,6/16/2017
Office Supplies,3,6/16/2017
Technology,2,6/16/2017
Technology,1,6/16/2017
Office Supplies,2,7/23/2016
Office Supplies,2,7/23/2016
Technology,1,7/23/2016
Office Supplies,4,09-08-2014
Office Supplies,2,11-04-2017
Technology,3,03-07-2016
Office Supplies,3,11/20/2015
Office Supplies,4,11/20/2015
Furniture,4,11/20/2015
Office Supplies,4,11-07-2016
Office Supplies,4,11-07-2016
Office Supplies,2,11-07-2016
Office Supplies,2,11-07-2016
Technology,7,10/13/2015
Furniture,3,10/13/2015
Furniture,4,01-01-2017
Technology,7,02-07-2014
Office Supplies,2,6/20/2016
Office Supplies,6,6/20/2016
Office Supplies,6,5/28/2016
Furniture,2,2/19/2016
Office Supplies,3,2/19/2016
Office Supplies,2,08-03-2014
Office Supplies,10,08-03-2014
Office Supplies,2,08-03-2014
Office Supplies,1,04-10-2017
Office Supplies,2,04-10-2017
Office Supplies,2,06-09-2014
Office Supplies,2,06-09-2014
Technology,6,01-05-2016
Office Supplies,2,01-05-2016
Technology,2,01-05-2016
Office Supplies,1,01-10-2014
Furniture,1,01-10-2014
Office Supplies,4,9/29/2016
Office Supplies,6,04-06-2014
Office Supplies,5,09-03-2016
Technology,3,09-03-2016
Office Supplies,3,10/19/2015
Office Supplies,2,12-10-2014
Office Supplies,7,12-10-2014
Office Supplies,5,8/25/2017
Furniture,3,1/17/2016
Technology,1,1/17/2016
Technology,3,1/17/2016
Office Supplies,4,9/17/2014
Office Supplies,3,11/30/2017
Furniture,5,11/30/2017
Office Supplies,2,10-09-2015
Office Supplies,4,12/23/2017
Furniture,5,10/22/2016
Furniture,2,4/29/2014
Office Supplies,3,4/25/2015
Office Supplies,12,6/26/2017
Office Supplies,7,10/14/2017
Office Supplies,6,12-09-2014
Technology,5,6/20/2017
Office Supplies,3,6/20/2017
Office Supplies,1,6/26/2017
Office Supplies,4,6/26/2017
Technology,8,6/26/2017
Office Supplies,7,11-10-2016
Office Supplies,3,11-10-2016
Office Supplies,2,10-03-2016
Office Supplies,7,09-09-2014
Office Supplies,8,10/29/2017
Office Supplies,2,04-10-2016
Office Supplies,5,11-11-2017
Office Supplies,4,11-11-2017
Technology,3,9/15/2017
Office Supplies,3,04-08-2016
Office Supplies,2,04-08-2016
Office Supplies,2,04-08-2016
Furniture,4,12/30/2017
Technology,7,12/30/2017
Office Supplies,3,12/30/2017
Technology,4,09-02-2017
Technology,7,09-02-2017
Office Supplies,2,09-02-2017
Furniture,6,5/31/2015
Furniture,1,11/27/2017
Technology,9,11/27/2017
Furniture,2,6/15/2014
Furniture,4,6/15/2014
Office Supplies,3,6/15/2014
Office Supplies,3,03-05-2016
Office Supplies,1,03-05-2016
Office Supplies,2,12-05-2014
Technology,3,04-11-2015
Technology,1,04-11-2015
Office Supplies,5,04-11-2015
Office Supplies,2,9/15/2016
Office Supplies,3,9/13/2014
Technology,5,9/13/2014
Office Supplies,4,10-05-2015
Office Supplies,2,10-05-2015
Office Supplies,3,4/14/2017
Office Supplies,3,4/14/2017
Office Supplies,3,4/14/2017
