Sub-Category,Profit,Order_Date
Storage,5.8744,12-01-2017
Phones,35.6346,12-01-2017
Binders,7.4824,12-01-2017
Fasteners,16.2099,12-01-2017
Storage,3.6796,12-01-2017
Accessories,6.5,02-09-2015
Labels,8.88,01-02-2015
Bookcases,-244.323,01-02-2015
Phones,-14.6958,01-02-2015
Machines,-950.4,01-02-2015
Accessories,4.4792,01-02-2015
Storage,26.0568,10/28/2016
Phones,22.6782,10/28/2016
Fasteners,1.8148,12/24/2015
Paper,8.2302,12/24/2015
Binders,-13.8432,12/24/2015
Furnishings,19.0848,12/24/2015
Machines,-383.9904,12/24/2015
Art,2.7168,12/24/2015
Art,0.968,08-09-2015
Tables,136.939,08-09-2015
Storage,0.2198,08-09-2015
Chairs,-28.2744,2/28/2015
Chairs,43.8408,2/28/2015
Binders,-12.432,9/13/2014
Tables,-102.048,04-07-2017
Tables,-248.2458,04-07-2017
Binders,-3.552,04-07-2017
Furnishings,0.0,04-07-2017
Accessories,-7.7247,04-07-2017
Paper,4.752,11-12-2017
Paper,9.396,06-04-2016
Furnishings,-356.728,06-04-2016
Furnishings,-4.6752,06-04-2016
Phones,11.1944,06-04-2016
Tables,-120.513,06-04-2016
Furnishings,-2.8308,06-04-2016
Art,1.2038,06-04-2016
Chairs,580.5394,06-01-2014
Storage,41.68,06-01-2014
Paper,23.94,06-01-2014
Appliances,496.0725,06-01-2014
Paper,12.4416,06-01-2014
Chairs,28.1372,12-10-2016
Paper,3.5767,09-11-2016
Accessories,636.0003,09-11-2016
Storage,22.5624,12-10-2016
Envelopes,162.864,12-10-2016
Furnishings,-8.4924,11/28/2015
Storage,-19.5624,11/28/2015
Storage,4.044,11/28/2015
Phones,56.6916,11/28/2015
Accessories,6.9258,12-01-2017
Storage,6.6465,12-01-2017
Binders,6.132,12-01-2017
Appliances,-4.466,06-08-2017
Machines,-509.997,9/19/2014
Machines,-251.9958,9/19/2014
Phones,28.7196,06-06-2016
Accessories,35.156,11-10-2015
Art,4.7304,6/16/2017
Fasteners,0.3024,1/22/2016
Storage,-7.4416,12-09-2017
Envelopes,21.591,12-09-2017
Storage,210.4936,12/28/2017
Accessories,92.3692,7/30/2015
Furnishings,2.3232,7/30/2015
Binders,4.095,7/30/2015
Paper,4.0572,9/16/2017
Art,1.5548,9/16/2017
Paper,4.0768,10/13/2017
Paper,5.9072,10/13/2017
Storage,5.9712,10/13/2017
Labels,8.694,10/13/2017
Binders,-3.432,9/26/2015
Phones,376.11,9/26/2015
Tables,51.942,11-02-2015
Paper,47.844,9/26/2015
Accessories,47.96,9/26/2015
Paper,10.8864,9/26/2015
Binders,-169.372,12/18/2016
Appliances,24.316,12/18/2016
Supplies,-204.3145,12/18/2016
Fasteners,6.6836,11/20/2016
Labels,6.2424,11/20/2016
Accessories,54.3966,11/20/2016
Bookcases,-48.7032,11/20/2016
Furnishings,78.8592,12/26/2014
Chairs,20.1558,12/26/2014
Furnishings,-24.5646,12/26/2014
Binders,-62.88,12/26/2014
Fasteners,9.2988,12/26/2014
Paper,15.552,10/28/2016
Storage,10.8248,10/28/2016
Paper,27.3168,10/28/2016
Furnishings,38.024,10/28/2016
Binders,6.5688,10/28/2016
Tables,-131.445,11/19/2017
Furnishings,12.864,05-04-2015
Art,2.8536,12/30/2014
Binders,20.9208,06-01-2014
Art,83.868,06-01-2014
Art,2.0049,4/15/2017
Furnishings,3.5948,09-12-2016
Chairs,52.5114,09-12-2016
Furnishings,1.7136,09-12-2016
Labels,2.0358,09-12-2016
Furnishings,37.6422,9/27/2014
Phones,22.298,08-09-2014
Paper,5.4432,08-09-2014
Art,8.6744,12/28/2014
Chairs,24.1568,11-04-2014
Machines,1995.99,11-04-2014
Phones,80.0226,11-04-2014
Accessories,129.6,11-04-2014
Storage,13.071,11-04-2014
Fasteners,3.58,9/19/2014
Binders,81.744,4/23/2016
Accessories,34.9965,4/23/2016
Furnishings,0.9995,11-03-2017
Phones,-67.8762,8/30/2016
Storage,3.389,8/30/2016
Chairs,-258.5016,8/30/2016
Labels,33.831,8/30/2016
Binders,-27.6936,8/30/2016
Phones,-20.7,4/25/2016
Binders,-13.816,4/25/2016
Binders,-3.4272,4/25/2016
Binders,1.6038,09-01-2015
Copiers,335.9944,09-01-2015
Binders,4.49,09-01-2015
Binders,2.7956,07-12-2014
Tables,-17.4588,07-12-2014
Fasteners,2.3312,6/22/2015
Art,1.116,4/13/2014
Binders,-407.976,4/13/2014
Fasteners,10.0724,4/13/2014
Phones,8.3916,4/13/2014
Storage,-2.22,12/20/2015
Phones,4.7976,6/15/2017
Art,3.0996,07-08-2017
Paper,11.5432,07-08-2017
Art,4.1472,07-08-2017
Accessories,2.3086,09-01-2016
Paper,11.5432,09-01-2016
Binders,1.0668,09-01-2016
Paper,23.0864,09-01-2016
Binders,1415.4296,09-01-2016
Bookcases,-4.8588,04-08-2016
Envelopes,3.7996,04-08-2016
Art,6.9864,04-08-2016
Paper,15.824,04-08-2016
Paper,11.325,4/23/2016
Appliances,168.4384,03-08-2017
Labels,9.936,03-08-2017
Labels,9.936,9/25/2017
Chairs,86.8704,9/25/2017
Art,1.4456,9/25/2017
Furnishings,20.7328,9/25/2017
Storage,8.4784,9/24/2014
Binders,10.44,10/21/2016
Supplies,0.1472,10/21/2016
Storage,29.3412,10/21/2016
Bookcases,271.4192,10/21/2016
Paper,9.396,5/29/2017
Storage,4.6746,5/29/2017
Binders,-5.712,7/23/2014
Accessories,179.1888,7/23/2014
Art,0.924,7/23/2014
Accessories,-29.94,7/23/2014
Paper,30.98,9/28/2016
Tables,-297.6848,8/27/2017
Appliances,-20.3322,4/28/2015
Storage,2.6811,4/28/2015
Binders,-18.8728,4/28/2015
Paper,25.48,10/28/2016
Binders,17.3376,10/28/2016
Accessories,8.799,6/26/2015
Tables,-157.0095,11/27/2015
Accessories,-1.0497,11/27/2015
Machines,-337.638,12-03-2015
Furnishings,0.777,12-03-2015
Art,0.4264,11/24/2014
Binders,7.884,12-11-2017
Accessories,13.5932,12-11-2017
Phones,27.7182,9/21/2014
Copiers,701.9883,9/21/2014
Binders,-20.5623,06-07-2014
Binders,25.5798,6/30/2017
Storage,9.4924,10/17/2017
Paper,6.2208,10/17/2017
Supplies,21.036,10/31/2015
Storage,3.5952,09-08-2016
Bookcases,-317.1528,09-08-2016
Storage,-32.784,09-08-2016
Accessories,0.7198,09-08-2016
Paper,3.4684,12/24/2014
Art,9.768,4/16/2014
Appliances,9.6957,12/24/2017
Accessories,37.7895,12-08-2017
Copiers,434.9913,12-08-2017
Paper,13.3035,12-08-2017
Tables,-112.9527,12-08-2017
Paper,4.6464,12-08-2017
Labels,13.608,12-08-2017
Paper,27.4302,12-08-2017
Bookcases,31.4548,12-08-2017
Chairs,-18.4548,12-08-2017
Paper,65.7342,11-03-2017
Chairs,26.8744,11-03-2017
Art,25.8984,6/24/2017
Chairs,38.38,4/14/2016
Paper,2.8322,11-06-2017
Art,2.7028,03-04-2017
Envelopes,7.015,03-04-2017
Accessories,56.5662,6/22/2014
Furnishings,14.7056,10/19/2017
Storage,8.502,10/19/2017
Chairs,225.264,8/21/2017
Furnishings,11.076,11/23/2017
Binders,138.2016,11/23/2017
Machines,30.0957,09-12-2014
Art,0.5004,10-01-2017
Binders,-145.3508,4/15/2016
Accessories,76.6395,4/15/2016
Accessories,54.7425,4/15/2016
Storage,-0.7748,4/15/2016
Storage,207.147,06-06-2016
Binders,-3.6892,12/19/2014
Accessories,-18.585,12/19/2014
Machines,43.1991,06-12-2016
Paper,113.6394,06-12-2016
Paper,11.5536,9/15/2017
Chairs,2.3094,1/20/2017
Furnishings,3.666,09-05-2016
Storage,23.3928,09-05-2016
Storage,20.5755,09-05-2016
Paper,42.0256,09-05-2016
Chairs,29.1528,09-05-2016
Labels,10.584,09-05-2016
Furnishings,1.3677,3/20/2017
Art,15.4752,04-01-2016
Storage,9.7164,04-01-2016
Art,71.2476,04-01-2016
Art,7.9248,04-01-2016
Art,2.8536,04-01-2016
Phones,9.1312,04-01-2016
Tables,-75.8304,10/20/2017
Storage,66.5408,10/20/2017
Accessories,24.9132,12/13/2016
Chairs,-24.294,02-12-2014
Chairs,-96.1146,9/26/2016
Envelopes,3.348,9/26/2016
Appliances,36.372,12/15/2015
Accessories,377.9622,12/15/2015
Binders,18.6006,12/15/2015
Furnishings,7.068,4/22/2016
Tables,-814.4832,4/22/2016
Binders,-20.889,4/22/2016
Supplies,-34.758,4/22/2016
Appliances,5.8704,4/22/2016
Furnishings,-312.0614,1/17/2015
Bookcases,-36.2352,3/31/2017
Binders,-7.9002,12/16/2016
Paper,26.6304,12/20/2015
Storage,3.4092,11-09-2014
Bookcases,10.4784,11-09-2014
Phones,87.996,11-09-2014
Storage,24.9804,11-09-2014
Paper,28.819,11-09-2014
Paper,45.528,11-09-2014
Phones,7.182,07-12-2016
Furnishings,19.296,10/27/2016
Art,6.615,6/26/2016
Storage,84.51,6/26/2016
Accessories,1.9089,10-06-2014
Art,1.6688,7/22/2014
Accessories,57.5928,7/22/2014
Labels,14.8,06-10-2017
Bookcases,-30.245,06-10-2017
Phones,17.4975,06-10-2017
Phones,341.994,10/29/2014
Phones,0.5994,06-09-2014
Accessories,10.3974,06-09-2014
Art,6.1572,06-09-2014
Storage,8.983,9/14/2014
Envelopes,5.0922,9/14/2014
Accessories,13.1572,05-09-2016
Tables,-94.941,3/18/2016
Envelopes,51.6558,12/27/2015
Binders,40.3704,7/25/2016
Furnishings,81.8432,7/25/2016
Chairs,18.1176,7/25/2016
Furnishings,22.869,7/25/2016
Binders,-15.08,5/30/2016
Binders,-11.9616,5/30/2016
Chairs,50.098,5/30/2016
Binders,-1.9008,5/30/2016
Paper,11.8871,5/30/2016
Binders,5.373,11-12-2017
Art,0.7398,3/16/2015
Art,2.1684,3/16/2015
Storage,11.685,3/16/2015
Binders,3177.475,3/16/2015
Furnishings,40.416,11/26/2017
Accessories,12.1728,11/26/2017
Art,0.7152,10/20/2016
Art,1.7901,12/21/2017
Art,1.7052,12/21/2017
Copiers,1379.977,1/22/2017
Storage,13.8915,1/22/2017
Paper,5.382,1/22/2017
Storage,56.301,1/22/2017
Accessories,5.2877,3/22/2015
Storage,-25.9136,3/22/2015
Binders,-21.168,3/22/2015
Tables,21.098,1/23/2017
Phones,-12.4146,5/21/2016
Accessories,27.1666,5/21/2016
Fasteners,10.434,12/26/2015
Chairs,42.747,10/21/2017
Furnishings,5.1408,10/21/2017
Storage,-7.2672,09-03-2015
Supplies,-149.9058,09-03-2015
Envelopes,19.692,09-03-2015
Chairs,11.92,11-07-2015
Furnishings,2.397,09-07-2017
Phones,274.386,5/29/2016
Binders,11.375,5/29/2016
Storage,1.4672,07-10-2016
Binders,-68.1856,09-03-2017
Binders,3.36,12-03-2015
Appliances,41.2938,12-07-2015
Chairs,70.98,12-07-2015
Accessories,206.316,02-01-2014
Phones,38.0864,7/14/2016
Storage,-145.5246,12/18/2015
Accessories,7.264,05-11-2014
Phones,6.2995,05-11-2014
Furnishings,-84.2928,05-11-2014
Binders,13.932,11/19/2017
Paper,6.4128,11/19/2017
Storage,15.642,11/15/2015
Binders,-17.046,11/15/2015
Supplies,-1.744,11/15/2015
Chairs,0.0,4/15/2016
Furnishings,6.0382,09-11-2017
Fasteners,2.5707,11/24/2017
Storage,310.9872,6/29/2017
Art,3.4048,03-03-2014
Labels,9.936,06-10-2016
Tables,-217.048,06-10-2016
Paper,15.552,06-10-2016
Furnishings,16.614,11/20/2017
Binders,27.3182,11/20/2017
Appliances,1.3,9/14/2014
Furnishings,3.7743,9/14/2014
Fasteners,0.0,12-07-2015
Labels,1.2006,12-07-2015
Phones,46.797,12-07-2017
Paper,45.0016,10-01-2017
Binders,27.3672,10-01-2017
Paper,9.3312,10-01-2017
Chairs,0.0,10-01-2017
Labels,34.776,12/28/2017
Fasteners,6.4216,12/28/2017
Binders,11.2266,12/28/2017
Phones,4.0095,12/28/2017
Art,2.3814,11-03-2016
Paper,78.7528,9/18/2015
Paper,9.7608,9/18/2015
Supplies,2.19,9/18/2015
Storage,8.714,7/20/2017
Furnishings,-5.7148,7/20/2017
Supplies,1.5456,09-10-2015
Phones,52.9173,12-01-2017
Phones,9.2386,12-01-2017
Appliances,3.5046,12-01-2017
Binders,-4.7481,12-01-2017
Phones,30.4776,12-01-2017
Chairs,4.9686,07-03-2015
Labels,144.5157,07-03-2015
Phones,-20.1362,3/20/2016
Paper,7.2576,3/20/2016
Binders,-12.8961,3/20/2016
Paper,3.6288,3/20/2016
Art,1.168,01-09-2014
Accessories,9.75,01-09-2014
Appliances,22.0748,08-08-2014
Copiers,434.9913,08-08-2014
Phones,55.745,08-08-2014
Furnishings,91.7728,08-08-2014
Supplies,1.0178,7/14/2016
Phones,-28.7964,7/16/2016
Phones,-115.3544,7/16/2016
Supplies,0.73,7/16/2016
Storage,17.847,3/15/2014
Furnishings,5.1408,3/15/2014
Binders,-5.5338,3/15/2014
Binders,-31.6712,3/15/2014
Paper,47.8152,3/15/2014
Binders,-2.6256,5/23/2014
Art,2.3814,5/23/2014
Phones,-10.1178,5/23/2014
Phones,41.5773,4/28/2016
Labels,5.6956,4/28/2016
Paper,2.64,09-11-2016
Phones,-157.9383,09-11-2016
Phones,15.992,11/14/2017
Binders,-2.7968,11/14/2017
Furnishings,15.7872,8/18/2017
Furnishings,3.0814,8/18/2017
Binders,33.57,8/18/2017
Phones,10.9939,8/18/2017
Furnishings,27.2862,8/18/2017
Binders,-14.773,12/26/2014
Chairs,87.5684,11/29/2015
Appliances,178.901,11/29/2015
Storage,130.87,11/29/2015
Art,46.9278,11/29/2015
Furnishings,12.0904,9/15/2017
Appliances,28.1764,5/19/2017
Binders,5.1435,12/17/2017
Paper,6.0858,12/17/2017
Storage,-51.7191,12-11-2016
Accessories,29.95,12-11-2016
Phones,30.0768,12-11-2016
Accessories,2.4585,9/24/2017
Labels,85.5297,9/24/2017
Chairs,43.2234,10-04-2015
Binders,-13.8468,8/15/2016
Appliances,12.2328,8/15/2016
Furnishings,272.792,5/20/2016
Binders,5.0128,5/20/2016
Furnishings,6.0288,12/18/2016
Storage,85.904,7/30/2017
Labels,12.6,7/30/2017
Accessories,54.3332,06-10-2017
Paper,3.1752,7/21/2017
Appliances,56.511,12/30/2017
Fasteners,9.8625,04-01-2016
Appliances,3.0144,04-01-2016
Furnishings,6.068,12-11-2016
Phones,22.6782,12-11-2016
Accessories,31.6,12-11-2016
Paper,178.318,10/23/2016
Paper,45.9754,6/19/2017
Accessories,10.312,6/19/2017
Appliances,8.5164,8/22/2016
Binders,-2.6544,8/22/2016
Envelopes,45.3222,8/22/2016
Chairs,-50.098,9/19/2016
Binders,-3.462,9/19/2016
Storage,124.929,8/24/2015
Storage,-135.765,8/24/2015
Tables,-118.1295,8/24/2015
Binders,-4.2222,8/24/2015
Storage,18.398,3/26/2016
Fasteners,5.2626,11-04-2016
Supplies,2.079,06-08-2017
Paper,28.7064,06-08-2017
Phones,28.6182,06-08-2017
Furnishings,8.7285,12/24/2014
Furnishings,-14.3856,06-09-2017
Tables,-71.8905,06-09-2017
Paper,11.36,06-09-2017
Art,1.7115,6/15/2017
Appliances,16.5888,12-05-2017
Paper,17.505,12-05-2017
Accessories,40.7499,12-05-2017
Appliances,-7.392,3/18/2017
Accessories,4.5201,3/18/2017
Furnishings,-41.262,3/18/2017
Binders,-320.2395,3/18/2017
Binders,4.6644,11/19/2016
Storage,2.5984,11/19/2016
Storage,18.522,11/19/2016
Machines,-3839.9904,11-04-2017
Appliances,14.651,11-04-2017
Accessories,163.1898,07-05-2014
Labels,6.8714,07-05-2014
Paper,9.3312,07-05-2014
Bookcases,4.7996,12/25/2017
Furnishings,14.5614,6/21/2014
Phones,74.0532,6/21/2014
Storage,10.3152,6/21/2014
Accessories,24.936,3/28/2015
Paper,16.032,3/28/2015
Art,17.3488,5/14/2015
Labels,17.76,5/14/2015
Envelopes,62.8075,5/14/2015
Labels,31.7512,5/14/2015
Art,0.8088,5/14/2015
Binders,-13.6312,5/14/2015
Binders,-3.4272,5/14/2015
Furnishings,4.1448,09-02-2017
Furnishings,35.6796,11-04-2016
Tables,-13.8717,04-09-2015
Paper,3.6288,09-12-2014
Appliances,18.7695,09-12-2014
Accessories,2.2824,09-12-2014
Accessories,52.7824,12-02-2014
Bookcases,-110.49,12-02-2014
Binders,15.768,12-02-2014
Paper,26.6304,04-05-2014
Envelopes,8.8624,09-03-2017
Appliances,109.7226,5/19/2017
Phones,89.3142,5/19/2017
Accessories,113.9886,5/19/2017
Binders,6.972,07-01-2014
Furnishings,3.0814,01-11-2014
Furnishings,24.4758,9/24/2017
Binders,19.4376,06-02-2014
Furnishings,21.996,06-02-2014
Paper,73.41,2/13/2016
Tables,231.4116,12/15/2016
Storage,80.0199,12/15/2016
Furnishings,21.112,10-07-2014
Supplies,5.1282,07-07-2016
Envelopes,6.3684,9/16/2017
Phones,5.5992,9/16/2017
Paper,84.0512,12-03-2016
Tables,-153.3456,12-03-2016
Storage,10.089,12-03-2016
Chairs,102.4998,12-03-2016
Labels,3.024,12-03-2016
Storage,9.7176,1/21/2017
Accessories,86.3856,1/21/2017
Binders,33.6474,1/21/2017
Binders,9.4284,1/21/2017
Bookcases,18.6956,1/21/2017
Binders,6.552,1/21/2017
Accessories,8.4966,09-08-2014
Labels,4.2717,01-04-2014
Storage,-64.7748,01-04-2014
Binders,-5.487,01-04-2014
Supplies,-10.948,8/27/2016
Paper,1.1466,8/27/2016
Paper,1.6762,8/27/2016
Supplies,6.2064,8/27/2016
Tables,-28.356,5/27/2014
Storage,7.1864,5/27/2014
Phones,0.8994,3/20/2016
Binders,26.703,10-02-2017
Furnishings,56.7864,10-02-2017
Art,22.792,10-02-2017
Binders,1.4112,10-02-2017
Copiers,374.9925,04-07-2016
Furnishings,28.7712,12-07-2015
Tables,-167.3184,9/18/2016
Storage,6.8768,12/29/2014
Accessories,47.92,12/29/2014
Binders,4.2666,7/23/2017
Paper,10.224,9/18/2017
Paper,27.9936,8/31/2015
Labels,5.6994,11-03-2017
Phones,-26.9955,02-08-2015
Envelopes,5.3392,1/13/2014
Envelopes,25.47,1/13/2014
Accessories,258.696,1/13/2014
Binders,2.7072,1/13/2014
Storage,34.3548,1/13/2014
Furnishings,23.316,5/14/2014
Chairs,179.7488,5/19/2016
Binders,9.14,1/30/2017
Phones,51.75,1/30/2017
Binders,16.175,1/30/2017
Binders,3.4695,1/30/2017
Art,10.881,1/30/2017
Furnishings,14.5236,1/30/2017
Art,3.6855,6/29/2014
Chairs,40.8006,8/21/2015
Paper,28.1718,8/21/2015
Paper,11.7208,8/21/2015
Paper,1.926,8/21/2015
Binders,-22.449,10-03-2015
Accessories,-2.7,10-03-2015
Bookcases,-15.6156,10-03-2015
Accessories,0.5998,10-03-2015
Envelopes,87.7443,5/23/2015
Binders,5.8914,3/17/2017
Chairs,34.8928,12-12-2015
Binders,69.1008,6/26/2015
Storage,4.1634,6/26/2015
Binders,21.0896,6/26/2015
Chairs,79.9056,6/26/2015
Phones,85.2475,5/20/2016
Labels,4.5816,9/20/2014
Paper,10.6428,9/20/2014
Binders,9.8784,9/21/2017
Paper,63.7392,12/24/2015
Paper,6.2208,12/24/2015
Labels,10.3488,12/24/2015
Chairs,17.745,11/27/2015
Furnishings,7.3359,2/20/2017
Phones,18.8972,2/20/2017
Appliances,99.4896,8/18/2016
Paper,6.2208,03-12-2016
Furnishings,6.2152,4/22/2017
Art,4.3176,11-01-2014
Phones,247.996,11-01-2014
Furnishings,11.076,02-03-2015
Accessories,50.9898,02-03-2015
Art,3.2256,10/13/2014
Tables,311.652,10/13/2014
Appliances,62.0368,10/13/2014
Accessories,2.578,10/13/2014
Furnishings,6.2152,5/14/2017
Accessories,601.9699,5/14/2017
Paper,24.8832,3/20/2015
Paper,1.8704,9/15/2016
Paper,14.5152,6/28/2014
Binders,-2.4288,6/28/2014
Chairs,0.0,6/28/2014
Binders,-22.7964,6/28/2014
Paper,117.432,6/28/2014
Accessories,71.991,6/20/2017
Labels,4.8118,6/20/2017
Accessories,4.068,05-09-2014
Accessories,40.3128,05-09-2014
Fasteners,16.8,8/21/2017
Supplies,10.7996,8/21/2017
Envelopes,7.4872,8/21/2017
Chairs,90.588,6/16/2017
Appliances,50.5848,6/16/2017
Phones,51.8346,6/16/2017
Phones,17.1574,6/16/2017
Art,2.6412,7/23/2016
Appliances,6.5164,7/23/2016
Machines,-111.4995,7/23/2016
Binders,-79.3352,09-08-2014
Paper,3.2616,11-04-2017
Phones,1.5804,03-07-2016
Art,16.3215,11/20/2015
Art,3.3408,11/20/2015
Bookcases,9.3024,11/20/2015
Binders,11.7,11-07-2016
Binders,8.7672,11-07-2016
Supplies,3.2944,11-07-2016
Labels,6.8714,11-07-2016
Phones,23.4416,10/13/2015
Chairs,77.7438,10/13/2015
Furnishings,8.5568,01-01-2017
Accessories,49.6048,02-07-2014
Art,1.3416,6/20/2016
Paper,18.6624,6/20/2016
Art,50.1876,5/28/2016
